17a-dihydroequilin	17a-dihydroéquiline
established CHD	maladie coronaire ou coronopathie avérée ou confirmée
established	confirmé
Estimate	Estimé
Estimation	Estimation
Estimator	Estimateur
estradiene	estradiène
estrous cycle	cycle oestral
etanus vaccination	vaccin anti-tétanique
Ethics	Ethique
ethmoid bone	ethmoïde
Ethnic group	Groupe ethnique
Etiologic study	Etude à visée étiologique
Etiology	Etiologie
étrier	stirrups
Europe	Europe
Evaluation	Evaluation
Evans' postulates	Postulats d'Evans
evening primrose oil	huile d'onagre
Event	Evénement
everyday aches and pains	les petits maux de tout les jours
evicted	Expulsé
evidence guided	guidance de preuve
Exact method	Méthode exacte
Exact test	Test exact
excentro-osteo chondrodysplasia	chondrodysplasie spondylo-épiphysaire
excessively slow heart rate	cadence trop lente
Excess rate among exposed	Taux en excès chez les exposés
Excess risk	Risque en excès
excision	excision
excitability	excitabilité
excitation	excitation
excreted	excrété
excretion	excrétion
Exelon	Exelon
exercise	exercice
exercise test	test deffort
Exfoliation treatment	Traitement exfoliant
exogenous	exogène
exostosis	exostose
Expanded programme on immunization	Programme élargi d'immunisation
Expectation of life	Espérance de vie
expectorant	expectorante
experienced	expérimenté
experience	expérience
Experiential variable	Variable indépendante
Experimental epidemiology	Epidémiologie expérimentale
Experimental study	Etude expérimentale
Experiment	Expérience
explanation	explication
Explanatory study	Etude explicative
Explanatory variable	Variable explicative
exploratory	exploratrice
Exposure	Exposition
Exposure-odds ratio	Rapport des cotes d'exposition
Exposure ratio	Rapport des proportions d'exposés
expression	expression
Expressivity	Expressivité
extemporaneous mixture	mélange extemporané
exterior ear lobe or hair just inside ear	trague
external defibrillation	défibrillation externe
external	externe
external factors	influences extérieures
External use	Usage externe
External validity	Validité externe
extracorporeal circulation or bypass	circulation extracorporelle
extracorporeal	extracorporel
extramural education	enseignement extra-universitaire
extremely important	extrêmement important
Extrinsic incubation period	Période d'incubation extrinsèque
Exudating dermal ulcer	Ulcère dermique suintant
eyeball pressure	compression des globes oculaires
Eye chart	Echelle d'acuité visuelle
eye fundus	FO
eyeground	fond d'oeil
Face-pack	Masque anti-rides
Facial skin	Peau du visage
Factor analysis	Analyse factorielle
Factor	Facteur
Factorial design	Plan factoriel
faeces	feces
failure	défaillance
failure	échec
fainting	évanouissement
fainting spell	évanouissment
fainting	voir breath-holding attack
falling off	décollement
False negative	Faux négatif
False positive	Faux positif
familial adenomatous polyposis	polypose rétro-colique familiale
Familial disease	Maladie familiale
Family centered care	assistance aux familles
Family centered care : hôpital des enfants	assistance aux familles
Family contact disease	Maladie acquise par contact familial
family leave	conge des evenements familliaux
Family study	Etude de familles
fascia	aponévrose d'enveloppe
fascia	fascia
fasciculation	fasciculation
fasciectomy	fasciectomie
fasciitis	aponévrosite
fasciography	fasciographie
fascioplasty	fascioplastie
fasciorrhaphy	fasciorraphie
fasciotomy	aponévrotomie
fasciotomy	fasciotomie
fascitis	fasciite
fast rate	vitesse rapide
Fast track surgery concept	Concept de chirugie rapide de voie
fat children	enfants obèses
fatigue	fatigue
fatigue	fatigue
fatigue fracture	fracture d'effort
fat-splitting enzyme	enzyme lipolytique
faxed or emailed results	réponses télématiques
Fc portion	fragment Fc
F depyrogenation value	Fd
F distribution	Distribution de F
Feasibility study	Etude de faisabilité
features of the normal cardiac rhythm	particularités du rythme normal
febrifuge	fébrifuge
Fecundity	Fertilité
fee caps	plafonds dhonoraires
feedback	autorégulation
feeling jittery	agitation
femoral artery	artère fémorale
femoral	fémoral
femoral hernia	hernie crurale
femoral hernia	hernie fémorale
femoral nerve	nerf crecial
femoral nerve	nerf creial
femoro-femoral	fémoro-fémoral
femur	fémur
Fermentation	Fermentation
ferritin	ferritine
Fertility	Fécondité
Fertility rate	Taux de fécondité
Fertility ratio	Ratio de fécondité
fetal alcohol syndrome	syndrome fœto-alcoolique
Fetal death certificate	Certificat de mort foetale
Fetal death	Mort foetale
Fetal death rate	Taux de mortalité foetale
fetus	foetus
fever	fièvre
fever	fièvre
fiberoptic	fibroscopie
fibre	fibre
fibrin	fibrine
fibrinogen	fibrinogène
fibroadipose	membrano-adipeux
fibroblast	fibroblaste
fibrocartilage	fibrocartilage
fibrocyte	fibrocyte
fibroid	fibrome
fibroid lung	fibrose pulmonaire
fibroids	fibromes
fibroma	fibrome
fibromyalgia	fibromyalgie
fibromyalgia syndrome	syndrome fibromyalgique
fibroscopy	fibroscopie
fibrosis	fibrose
fibrositis	fibrosite
fibrous sheath	gaine fibreuse
fibrous tissue	tissue fibreux
Field survey	Enquête sur le terrain
- Figure 15: magnetization which creates a different period length	- la figure 15 l'aimantation qui crée une période langueur différente
filling of holes	Remplissage des trous
filter	filtre
final host	hôte final
finding	découverte
findings	constatations
find the sites occupied	trouvent la place prise
fine balance	équilibre fragile
finger clubbing	hippocratisme digital
fire and rescue service	pompiers
first wave	première onde
Fisher's exact test	Test exact de Fisher
fish mouth incision	incision en bouche de poisson
fistula	fistule
fistula syringe	seringue a fistule
fit	attaque
fitting	ajustage
Fixed cohort	Cohorte fermée
fixed decay time constant	algorithme de retour préfixé
fixed tumor tissue in the paraffin blocks or fresh tumor tissue if available	tissu tumoral d'archive et tissu frais si disponible
:fixed upward gaze	plafonnement du regard
flame-shaped hemorrhage	flammèches hémorragiques
flank	flanc
flashback	flashback
flat feet	pieds plats
flatulence	ballonnements
flavoxate	flavoxate
flex dollars unused	dollars à la carte excédentaires  ???
flexible benefit plan	régime de prestations flexibles  ???
flexible plan designs	conceptions de régime flexibles  ???
flexion	flexion
floride	la flour
flow chart	graphique d'évolution
Fluconazole	Fluconazole
flu	grippe
fluorescein	fluorescéine
fluorescence endoscope	endoscope à fluorescence
Fluorescence In Situ Hybridization	FISH
fluoroscopy	fluoroscopie
fluoxetine	fluoxétine
flushing	bouffée congestive
focal	focal
focal wasting	amyotropie focale
focused	concentré
focus	effet
foetal distress	souffrance foetale
Folacin	Folacine
folate deficiency	carence en folates
folate	folates
Folic acid	Acide folique
follicular alopecia	alopécie folliculaire
Follicular hormone	Hormone folliculaire
Folliculitis	Folliculite
folliculitis	folliculite
follow-up	catamnèse
follow-up	devenir
follow-up laboratory tests	biologie de controle
follow up	suivi
Follow-up	Suivi
Fomites	Matières contaminées
food allergy	allergie alimentaire
food poisoning	intoxication alimentaire
foods	nourriture
foot doctor	podologue
footprint	empreinte plantaire
for background purposes	pour rappel
Forced expiratory volume in 1 second	FEV1
forced expired volume in one second	FEV1
Force of morbidity	Force de morbidité
Force of mortality	Force de mortalité
for clinical trial use only	à usage expérimental
foreign bodies	corps étrangers
forensic beds	lits de psychiatrie légale
Foreskin	Prépuce
formulary	formulaire
Fortuitous relationship	Relation fortuite
Fosphenytoin	Fosphénytoïne
fovea	fossette
Fox evil	Alopécie
fractured rib	côte cassée
fracture	fracture
fractures	fractures
Frænum	Frein
framework	armature
Freckles	Taches de rousseur
free drug	medicament gratuit
freely movable joint	diarthrose
Free radicals	Radicaux libres
Frequency distribution	Distribution de fréquences
Frequency	Fréquence
Frequency matching	Assortiment par fréquence
Frequency polygon	Polygone de fréquences
Frequency table	Tableau de fréquences
Frostbite	Gelure
frostbite	gelures
frozen drug formulary	formulaire des médicaments bloqués
Full blood count	FBC
functional	fonctionnelle
Function	Fonction
function	fonction
funeral director	ordonnateur de pompes funèbres
fungicial	fongicide
fungistatic	fongistatique
fungus	champignon
fungus infections	mycoses
funnel chest	thorax en entonnoir
Furoncle	Furoncle
Furonculosis	Furonculose
furuncle	furoncle
Furuncle of the nose	Furoncle du nez
fusion	fusion
fussy	agitee
gabaergic	gabaergique
Gadolinium based contrast agent	Agent de contraste à base de gadolinium
Gadolinium based contrast agents	Agents de contraste à base de gadolinium
GAF scale	échelle EGF
gait	démarche
gallbladder disease	maladie de la vésicule biliaire
gall bladder	vesiculaire
gall bladder	vesicule bilaire
gallstone	calcul biliare
gallstones	calculs biliaires
galvanic equipment	appareil galvanique
Game theory	Théorie des jeux
gametocyte	gamétocyte
Gamma-Glutamyl Transpeptidase	gammaGT
gammaGT	Gamma-Glutamyl Transpeptidase
gamma linoleic acid	acide gammalinolénique
Gamma-linolenic acid	Acide gamma linoléique
ganglion cell	cellule ganglionnaire
Ganglion cyst	Kyste ganglionnaire
ganglionectomy	gangliectomie
gangrene	gangrène
garlic	ail
gas assay	gasometric gas
gas chromatography	chromatographie gazeuse
gastrenteritis	gastro-enterite
gastritis	gastrite
gastroenteritis	gastro-entérites
gastroenterologist	gastro-entérologue
gastroenterology	gastro-entérologie
gastrointestinal bleeding	saignement gastro-intestinale
gastrointestinal	gastrointestinal
gatifloxacin	gatifloxacine
gauze	compresse
Gauze	Gaze
gauze	Gaze
Gba	glucocerebrosidase
Gefitnib	Géfitnib
Gemcitabine	Gemcitabine
Gemzar	Gemzar
Gene	Gène
gene	gène
Gene pool	Pool des gènes
general anaesthesia	AG
general anaesthesia	anesthésie générale
General anesthesia	GA
General fertility rate	Taux global de fécondité
General Social Security Centres	CGSS
Generation effect	Effet de génération
Generation time	Temps de génération
generic	générique
Genetic disease	Maladie génétique
Genetic drift	Dérive génétique
Genetic epidemiology	Epidémiologie génétique
Genetic penetrance	Pénétrance génétique
Genetics	Génétique
genetics	génétique
Genital herpes	Herpès génital
Genome	Génome
Genome map	Carte du génome
genome-wide linkage studies	étude globale du génome par analyse de liaison
genomics	génomique
genu valgum	genu valgum
genu varum	genu varum
Geographic pathology	Pathologie géographique
Geometric mean	Moyenne géométrique
geriatrician	gériatre
geriatrics	gériatrie
germ cell	cellule germinative
germ cell	cellule reproductive
Germ-free	Stérile
gerontology	gérontologie
Gestational age	Age gestationnel
gestational age	l'âge gestationnel
gestational diabetes	diabète gesttione
gestodene	gestodène
ghost cell	cellule dépigmentée
ginkgo biloba	ginkgo biloba
girdle	ceinture
gland	glande
Glandular extracts	Extraits glandulaires
glandular fever	mononucleose
glans of penis	gland
glaucoma	glaucome
glaucommatous	glaucomateuses
glenoid	glénoïde
glioblastoma	glioblastome
glioma	gliome
Global medical device nomenclature code	Code GMDN
Glomerular filtration rate	GFR
Glomerular filtration rate	Taux de filtration glomérulaire
Glomerulus	Glomérule
glucocerebrosidase	Gba
glucocorticoid	glucocorticoïde
glucosamine hydrochloride	chlorhydrate de glucosamine
glucose	glucose
glucuronide	glucuronide
glutamic oxalacetic transaminase	GOT
glutamic pyruvic transaminase	GPT
glycosaminoglycans	glycosaminoglycanes
goat anti-human immunoglobins	solution à base d'immunogloulines ...
going around the right hand side of...	en contournant du coté droit
goiter	goitre
golden seal	hydraste du canada
Gompertz's law	Loi de Gompertz
Gonococcus	gonocoque
Gonodotrophic cycle	Cycle gonodotrophique
gonorrhoea	blennorragie
good air entry	Good air entry
good effect	effet bénéfique
Goodness of fit	Ajustement statistique
Goodness of fit test	Test d'ajustement statistique
goose-neck	col de cygne
gout	goutte
gout	goutteuses
Gradient of infection	Gradient de l'infection
Gram-negative bacillus	GNB
gram-negative	gram-négatif
gram-positive	gram-positif
Grans.	Granulocytes
granulocyte	granulocyte
Granulocytes	Grans.
grapefruit pip extract	extrait de pépins de pamplemousse
grape seed extract	extrait de pépin de raisin
Graph	Graphique
Gravidity	Gravidité
gravity abscess	abcès par congestion
greater omentum	grand épiploon
greater overall protection	protection totale plus importante
greater peritoneal sac	grande cavité péritonéale
Great saphenous vein	GSV
Green hylid	La Rainette Verte
greenstick fracture	fracture en bois vert
grepafloxacine	grépafloxacine
griping	colique
groin	aine
groove	fente
Gross reproduction rate	Taux brut de reproduction
Growth chart	Toise
growth	croissance
growth-onset diabetes	diabète juvénile
Growth rate of population	Taux d'accroissement de la population
Growth studies	Etudes de croissance
grunting	geingenement expiratoire
Guaranteed issue	Montant garanti à la souscription
guideline	directives
Guidelines	recommandations
guidewire	fil-guide
guiding catheter	cathéter-guide
gum	gencive
gumma	gomme
gynecology	gynécologie
gynecomastia	gynecomastie
Hackett spleen classification	Classification des splénomégalies par dimension
Hæmangioma	Hémangiome
Haematidrosis	Hématidrose
Hæmatoma	Hématome
haemodynamic	hémodynamique
haemolytic anaemia	anémie hémolytique
haemorrhage	hémorragie
haemorrhoids	hémorroïdes
Hair Ache	problemes de cheveux
hair bulb	bulbe pileux
hair extensions	rallonage de cheveux
Hair follicle	Follicule pileux
hair follicle	follicule pileux
Hairiness	Villosité
hair matrix cells	cellules de la matrice pilaire
hair wire	fil de cheveux
half-life	demi-vie
hallux valgus	hallux valgus
Halo effect	Effet de halo
Handicap	Handicap
handicapped children	enfants handicapés
handling	manipulation
Handover form	fiche de liaison
hangover	gueule de bois
Hantavirus	Hantavirus
Haphazard sample	Echantillon tout venant
hard and soft drusen	les drusen dures et molles
Hard data	Données dures
hard	induré
hardness	dureté
Hardy-Weinberg law	Loi de Hardy-Weinberg
Harelip	Bec de lièvre
Harmonic mean	Moyenne harmonique
Haversian canal	canal de Havers
hawthorn	aubépine
headache	céphalée
Head and Neck Unit	unité céphalique
head injury	traumatisme crânien
Head lice	Poux de tête
health and safety	hygiene et securite
Health behavior	Comportement de santé
Health care	Soins de santé
Health education	Education sanitaire
Health index	Indice de santé
Health indicator	Indicateur de santé
Health professional	Professionnel de la santé
Health promotion	Promotion de la santé
Health	Santé
Health services research	Recherche sur les services de santé
Health services	Services de santé
Health statistics	Statistiques sanitaires
Health status index	Indice de l'état de santé
Health survey	Enquête de santé
Health & Welfare Canada	Santé et Bien-Être Canada
healthy	en bonne santé
healthy tissue	tissus sains
Healthy worker effect	Effet de la bonne santé des travailleurs
hearburn	priposis
hearing aid	auditive
Hearing Aid Practitioner	audioprothésiste
hearing	audition
heart attack	crise cardiaque
heartburn	brûlures destomac
heart	cœur
heart	coeur
heart disease	cardiopathie
heart disease	maladie cardiaque
heart failure	arrêt du coeur
heart monitoring device	moniteur cardiaque
heart problems	accidents cardiaques
heart rate	fréquence cardiaque
Heart rate	HR
Heart rate monitor	Moniteur de fréquence cardiaque
heart rate	rythme cardiaque
heat	chaleur
heat failure	arrêt du cœur
Hebdomadal mortality rate	Taux de mortalité néonatale précoce
heel	talon
helmet	casque
help	aider
hemangioma	hémangiome
hemarthrosis	hémarthrose
hematemesis	hématémèse
hematological	hématologique
hematology	hématologie
hematoma	hématome
hematomas	hematomes
hematopoiesis	hematopoïèse
Hematuria	Hématurie
hematuria	hématurie
hemiarthroplasty	hémiarthroplastie
hemiation	herNiation - hérnie
hemochromatosis	hemochromatose
Hemodialysis blood line	Tubulure artério-veineuse
hemodialysis	hémodialyse
hemolysis	hemolyse
hemolysis	hémolyse
hemopericardium	hémopéricarde
hemoperitoneum	hémopéritoine
Hemophilia A	hémophilie A
hemopoietic	hématopoïétique
hemoptysis	hémoptysie
hemorrhagic stroke	Attaque dapoplexie hémorragique
hemostasis	hémostase
hemothorax	hémothorax
Henle-Koch postulates	Postulats d'Henle-Koch
Henle's loop	Anse de Henle
Heparin	Héparine
heparin	héparine
heparinised	hépariné
heparinize	hépariniser
hepatic	hépatique
Hepatitis A	Hépatite A
Hepatitis B	Hépatite B
Hepatitis B Virus	HBV
Hepatitis Cvirus	HCV
hepatitis	hepatite
hepatitis	hépatites
Herd imunity	Immunité collective
hereditary	héréditaire
heredity	hérédité
hernia	hernie
herniated disc	discale hernie
hernioplasty	hernioplastie
herniorrhaphy	herniorraphie
herniotomy	herniotomie
Herpes	Herpès
herpes zoster	herpès zoster
Herpes zoster	Zona
Heterogenous	Hétérogène
Heteroscedasticity	Hétéroscédasticité
heuristic	heuristique
hexadecasaccharide	hexadecasaccharide
hiatal hernia	hernie hiatale
Hibernation	Hibernation
Hibernia deposition gauge type collector	collecteur de précipitations de type jauge Hibernia.
high blood pressure	hypertension
higher-order reference materials	matériaux de référence supérieurs
high fever	forte fievre
high risk pregnancy	grosesse a risque eleve
high spike in blood pressure	poussées hypertensives.
hip	hanche
hip joint	articulation de la hanche
hip replacement surgery	chirurgie de remplacement de la hanche
hirsutism	hirsutisme
hirudin	hirudine
Histogram	Histogramme
histology	histologie
histone deacetylase	histone déacétylase
histopathological	histopathologique
Histoplasma farciminosum	Histoplasma farciminosum
Histoplasma	Histoplasma
Historical cohort study	Etude de cohorte rétrospective
Historical control	Etude de cohorte historique
history	antecedent
History	History
hives	urticaire
hiv	Virus de l'immunodéficience humaine
hmo	entretien de santé
hoarseness	enrouement
Hodgkins disease	maladie dHodgkin
Hogben number	Témoin historique
Holoendemic disease	Maladie holoendémique
Holomiantic infection	Infection de source commune
home care	soins à domicile
Home care	Soins à domicile
home health	aide a domicile
home nursing care	soins infirmiers à domicile
Homeostasis	Homéostasie
homocysteine	homocystéine
homocystinuria	homocystinurie
Homoscedasticity	Homoscédasticité
hood	cagoule
hook wire localisation	Repérage par harpon
hormonal therapy	hormonothérapie
hormone-dependant	hormono-dépendant
hormone	hormone
hormone like	analogue d'hormone
Hormone replacement therapy products	Traitements hormonaux de substitution
Hormone replacement therapy	Traitement hormonal de substitution
Hospital-acquired infection	Hôte
Hospital discharge abstract system	Système de résumés de notes à la sortie de l'hôpital
hospital	hôpital
Hospital separation	Infection nosocomiale Infection acquise à l'hôpital
host	hôte
hot flashes	bouffées de chaleur
hot flushes	bouffées de chaleur
hot flushes	chaleurs
hourglass head	crâne en sablier
Hour	hr
Household	Enquête sur un échantillon de ménages
Household sample survey	Indice hématophage
housekeeping gene	gène ménager OU gène constitutif
Human blood index	Ecologie humaine
human growth hormone	hormone de croissance
humanized	humanisé
human specimens supplied in duplicate	22 paires d'échantillons humains codés
humeroulnar joint	articulation huméro-cubitale
humerus	humérus
Huntington's chorea	chorée de Huntington
Huy Regional Medical Center	HRMC
hyaline cartilage	cartilage hyalin
hyaluronic acid	acide hyaluronique
hyasthenia gravis	myasthenie gravis
Hycamtin	Hycamtin
hydrarthrosis	hydrarthrose
Hydration	Hydratation
hydrochloride	hydrocholure
hydrocortisone	hydrocortisone
hydrogenated vegetable oils	huiles végétales hydrogénées
hydrothorax	hydrothorax
hydroxyapatite	hydroxy-apatite
Hydroxychloroquine	Hydroxychloroquine
hydroxy	hydroxy
hydroxymethyl	hydroxyméthyl
Hygiene	Hygiène
hyperactivity	hyperactivité
hypercalcemia	hypercalcémie
hyperemia	hyperémie
Hypergeometric distribution	Distribution hypergéométrique
hyperglycaemia	hyperglycémie
Hyperkalemia	Hyperkaliémie
hyperostosis	hyperostose
Hyperparathyroidism	Hyperparathyroïdisme
Hyperphosphatemia	Hyperphosphatémie
hyperplasia	hyperplasie
hypertension	hypertension
hyperthyroidism	hyperthyroïdie
hypertonic	hypertonique
hyperventilation	hyperventilation
hypervolemia	hypervolémie
hypnosis	hypnose
hypnotic	hypnotique
hypocholesterolemic	hypocholestérolémiant
hypochondriac region	hypocondre
Hypodermis	Hypoderme
hypoechogenic area	plage absorbante
hypoesthesia	hypoesthésie
hypogastric region	hypogastre
hypoglycaemia	hypoglycémie
hypoglycaemia secondary to glyburide	Hypoglycémie documentée secondaire au traitement de glyburide
hypoglycaemic	hypoglycémiant
hypokalemia	hypokaliémie
hypoplasia	hypoplasie
hypotension	hypotension
hypotensive	hypotendu
hypothermia	hypothermie
Hypothesis	Hypothèse
Hypothesis testing	Test d'hypothèse
hypothyroidism	hypothyroïdie
hypoventilation	hyporespiration
hysterectomised	hystérectomisée
I am not delusional.	Je ne suis pas délirant
Iatrogenic disease	Maladie provoquée par le traitement médical Maladie iatrogène
ibs	troube intenstinale
ibs	troubles intestinale
Iceberg phenomenon	Phénomène de l'iceberg
ice pack	sachet de glace
idiopathic anisomastia	anisomasthie idiopathique
Idiosyncrasy	Idiosyncrasie
if the indication is only from	si seul un essai clinique de l'ins. glar. vient étayer cette indication
I hereby authorise X to pass on the results of my blood test to	j'autorise X à transmettre au besoin les resultats de mon prélèvement sanguin
ileal and pancolonic	iléo-pancolique
ileitis	iléite
iliac arteries	artères iliaques
iliac extension	extension iliaque
ill	malade
Illness behaviour	Comportement lié à la maladie
illness	maladie
Illness	Maladie
image intensifier	amplificateur d'image
imaginary lines	lignes imaginaires
immmuno-suppression	immuno-depression
Immunization	Immunisation
immunological determinations	analyses immunologiques
impacted fracture	fracture engrenée
Impact	Impact
impaction	enclavement
impaired glucose tolerance	tolerance de defiecit de glucose
impaired nerve connective tissues flexibility	diminution de souplesse du tissu conjonctif nerveux
Impairment	Déficience
impairment	gêne
impairment of nerve function	dysfonction neurologique
Impetigo	Impétigo
impingement	conflit
implantable defibrillator	défibrillateur implantable
implant	appareil acoustique
implant female	boîtier femelle
impose a life-long contraindication	contre indique à vie
impossible to trigger or modify	non mobilisable ni modulable
improvement	amélioration
impulsiveness	impulsivité
inactivation of enzymes	désactivation d'enzymes
in adults and older children	grand enfant
in an average week	au cours d'une semaine type
in and out of control on warfarin	soumis ou non à la warfarine
Inapparent infection	Infection inapparente
Inception rate	Fréquence de nouveaux épisodes de maladie
Incidence density	Densité d'incidence
Incidence	Incidence
incidence of further chest pain	incidence de nouveaux épisodes de douleurs thoraciques
Incidence rate	Taux d'incidence
Incidence study	Etude d'incidence
Incident number	Nombre de nouveaux cas
incipient	débutant
incipient form	forme débutante
incipient gangrene	début de gangrène
including MCO public healthcare centers	y compris les centres des organismes de gestion des soins de santé publique
including the samples	encadrant les echantillons
Income Tax Act of Canada	Loi de limpôt sur le revenu du Canada
incomplete fracture	fracture incomplète
in consideration of the foregoing	en contrepartie de ce qui precede
increase	augmentation
Incubation period	Période d'incubation
incus	enclume
Independence	Indépendance
Independent events	Evénements indépendants
Independent variable	Variable indépendante
in development	en cours de développement
Index group	Groupe index
Indicator variable	Variable indicatrice
Indirect adjustment	Ajustement indirect
Individual variation	Variation individuelle
induc labor	provoquer l'accouchement
induction heat seal membrane	opercule thermosoudé par induction
Induction period	Période d'induction
Industrial hygiene	Hygiène industrielle
in exchange for procedures and undesirable events..	en contrepartie de procédures et d'événements indésirables
Infectibility	Susceptibilité à l'infection
infection	infection
Infection	Infection
Infectious disease	Maladie infectieuse
infectious diseases	maladies infectieuses
Infectious diseases	Maladies infectieuses
Infectiousness	Contagiosité
Infectivity	Infectivité
Inference	Inférence
Infestation	Infestation
inflamed	enflammé
inflate	gonfler
inflation	gonflage
inflation	gonflement
influenza	rhume
Information system	Système d'information
Informed consent	Consentement éclairé
infusion	perfusion
ingredient	constituant
Ingrown nail	Ongle incarné
inguinal hernia	hernie inguinale
inguinal node	ganglion inguinal
inhalant anaesthetic	anesthésique par inhalation
initial dosis	dose d'attaque
initiate	inaugurer
injuries	dommages
injury	blessure
innovative treatment	traitement novateur
Inoculation	Inoculation
inorganic luminescent material	matériau luminescent inorganique
in patient	hospitalisé
Insect bite	Piqûre d'insecte
insect bites	piqûres dinsectes
in segment 3	en C3
insertion aponeurosis	aponévrose d'insertion
in space	dans lespace
Instantaneous incidence rate	Taux d'incidence instantanée
Instrumental error	Erreur liée à l'instrument
instrument	instrument
Insulin-requiring	IR
insult	accident
insurance	assécurologie
insurance	assurance
integumentary appendages	annexes tégumentaires
Intended duration of treatement	Durée prévue du traitement
intensive care	réanimation
Intensive care unit	ICU
Interaction	Interaction
Interceptive orthodontics	Orthodontie modificatrice
intercondylar distance	distance intercondylienne
interfaced to an automated lab system	couplé à une système automatisé de tests en labo
interferes with contraction	trouble la contraction
interim analysis	analyse intermédiaire
Interleukin	Interleukin
intermediate host	hôte intermédiaire
Intermediate variable	Variable intermédiaire
Internal validity	Validité interne
International comparison	Comparaison internationale
International units	IU
International Vaccination Record	carnet de vaccinations international
interstial cystitis	intersite cystitie
interstital cystitis	interstital cystite
interuterine device	sterolet
Interval incidence density	Densité d'incidence dans l'intervalle entre deux examens
Interval scale	Echelle par intervalle
Intervening cause	Cause intermédiaire
Intervening variable	Variable intermédiaire
Intervention study	Etude d'intervention
Interventricular septum	IVS
intervertebral cartilages	disques intervertébraux
intervertebral disk	disque intervertébral
Interview schedule	Plan d'entrevue
in the field of	dans le domaine de
in the presence of two reporting judges	en double rapporteur
in the spiral groove	à la gouttière de torsion
intimal tear	déchirure de l'intima
intra-aortic balloon pump	IABP
intractable angina	angine rebelle
intractable pain	douleur récalcitrante
intragluteally	dans le muscle fessier
intrahepatic bile duct cancers	cholangiocarcinomes intra-hépatiques
intra-medullary interlocked stem	tige de fixation intramédullaire
Intramolecular	Intramoléculaire
intraocular pressure	la pression intraoculaire
intrascleral space	espace intrascleriale
intrauterine device	stérilet
intravenous infusion sets	perfusites
intricate	Compte tenu de la complexité de l'architecture artério-veineuse de ce patient...
introducer sheath	gaine de protection
introducer sheath	gaine d'introducteur
introducer sheath	gaine d'introduction
invasion	envahissement
inverted T opening	ouverture en T inversé
investing cartilage	cartilage de revêtement
investment aponeurosis	aponévrose de revêtement
Involuntary smoking	Fumer involontairement Inhalation involontaire de la fumée de tabac
involved	impliqué
involve	frapper
iodine excess	surcharge iodé
ipsilateral	homolatéral
iron clinics	consultations fer
iron deficiency anemia	frriprive
irreversible condition	état irréversible
is a valued addition to	prendre toute sa place
ischemic stroke	accident ischémique cérébral
is concentrated	cette étude a pour objectif premier
is intended to	est destiné à
is just about maintained but with straining until the knee is extended	à peu près tenue mais en forte tension jusqu'au maintien du genou en extension
Island population	Population Ólienne
isolation	Isolement
Isometric chart	Graphique isométrique
is transmitted	se propage
Itchiness	Démangeaison
itching	démangeaisons
itching	prurit
iud	sterilité
iv drip	poche a perfusion
iv	intraveneux
Japanese B Encephalitis	Encéphalite japonaise B
jaundice	jaunisse
jealousy	jalousie
jet lag	décalage horaire
joint capsule	capsule articulaire
joints	articulations
J-tip	en J
J-tip wire	fil-guide en J
Judkinss left	JL
Kappa	Mesure d'accord Kappa
karyolysis	caryolyse
karyorrhexis	caryorrhexie
keloid	chéloïde
Kendall's tau	Tau de Kendall
Kent bundle	faisceau de Kent
keratinocyte	kératinocyte
Keratosis	Kératose
ketone bodies	corps cétoniques
ketone	cétone
key object	KO
kidney bed	loges rénales
kidney cancer	cancer du rein
kidney disease	maladie des reins
kidney disease	maladie du rein
Kidney failure	Insuffisance rénale
kidney	le rein
kidney stone	le calcul renal
kidney stones	calculs rénaux
kidney stones	calculs renaux
kidney stones	calcus rénaux
kidney trouble	troubles du rein
kinase insert region	site d'insertion des kinases
kinetic	cinétique
kit	trousse
knee brace	genouillère
knee joint	articulation du genou
knock-knee	genou cagneux
knock knee	genou en X
Koch's postulates	Postulats de Koch
kyphosis	cyphose
labelled	étiqueté
labia minora nymphes	petites lèvres
laboratory diagnostic	diagnostic biologique
laboratory findings	tableau biologique
labor-inducing agent	agent inducteur du travail
lab value	Voir ci-dessous
Lack	Carence
lactate dehydrogenase	LD
lactate dehydrogenase	LDH
lactic bacteria	bactéries lactiques
lactose free	lactose - intolerant
lacuna	lacune
lacunar	lacunaire
lameness	courbature
Langerhansian adenoma	adénome insulaire
lap count	compresses pour laparotomie
larger joints	grosses articulations
Large sample method	Méthode basée sur de grands échantillons Méthode asymptotique
laryngeal cartilages	cartilages du larynx
laryngitis	laryngites
latch on	s'accrocher
Late neonatal mortality rate	Taux de mortalité néonatale tardive
Latent immunization	Immunisation latente
Latent infection	Infection latente
Latent period	Période de latence
latex	emulsion
Latin square	Carré latin
latissimus dorsi muscle	grand dorsal
law line	renseignements juridiques en ligne
laxative	Laxatif
lay back	couchez-vous
layer	assise
lay-off	chômage technique
leads	sondes
Lead time bias	Biais lié au temps de devancement
Lead time	Temps de devancement
leaflet	notice
Least squares	Moindre carré
Leflunomide	Léflunomide
Left anterior descending	LAD
Left atrium	LA
left atrium	'OG - oreillete gauche
left carotid	carotide gauche
Left femoral artery	LFA
Left radial artery	LRA
Left Ventricle Ejection Fraction	LVEF
Left ventricle	LV
Left ventricular end diastolic diameter	LVEDD
Left Ventricular End-Diastolic Pressure	LVEDP
left ventricular end systolic  and end diastolic volume	Les volumes télésystolique et télédiastolique ventriculaires gauches
